DATE,TIME,CUSTOMERTYPE,PRODUCTCATEGORY,UNITPRICE,QUANTITY,TOTAL,FULLNAME,MONTH,YEAR,DAY_OF_WEEK,HOUR,REVENUE_PER_UNIT
"2023-12-31 15:41:00",06:04:28,Member,Grocery,10.69,4,42.76,"Jai Bhatia",December,2023,Sunday,6,10.69
"2024-01-07 22:19:00",01:05:18,Premium,"Home & Kitchen",381.03,3,1143.09,"Ishaan Patel",January,2024,Sunday,1,381.03
"2024-01-10 02:09:00",17:31:43,Regular,Grocery,153.84,5,769.2,"Tanvi Iyer",January,2024,Wednesday,17,153.84
"2023-06-01 10:46:00",01:50:16,Regular,Electronics,341.41,4,1365.64,"Zara Xavier",June,2023,Thursday,1,341.41
"2024-05-23 22:07:00",10:37:06,Regular,"Home & Kitchen",390.16,5,1950.8,"Krishna Zutshi",May,2024,Thursday,10,390.15999999999997
"2024-02-16 19:41:00",22:41:47,Member,Grocery,170.21,4,680.84,"Zara Singh",February,2024,Friday,22,170.21
"2023-11-30 03:36:00",09:36:45,Member,Clothing,81.74,2,163.48,"Eeshaan Xavier",November,2023,Thursday,9,81.74
"2024-06-05 05:21:00",20:02:39,Premium,Clothing,181.26,3,543.78,"Eeshaan Kumar",June,2024,Wednesday,20,181.26
"2024-06-07 21:40:00",21:07:44,Premium,Electronics,471.89,2,943.78,"Mahesh Mehta",June,2024,Friday,21,471.89
"2023-12-29 04:35:00",17:53:54,Member,Grocery,59.7,2,119.4,"Ishaan Verma",December,2023,Friday,17,59.7
"2024-12-13 15:25:00",21:08:19,Regular,Electronics,198.48,4,793.92,"Krishna Agarwal",December,2024,Friday,21,198.48
"2023-03-30 21:54:00",00:21:31,Member,Grocery,242.14,2,484.28,"Vaibhav Singh",March,2023,Thursday,0,242.14
"2023-06-02 14:06:00",18:22:19,Premium,"Beauty & Personal Care",45.87,3,137.61,"Shreya Khanna",June,2023,Friday,18,45.870000000000005
"2023-10-27 11:33:00",11:26:47,Premium,"Home & Kitchen",120.57,5,602.85,"Rohan Mehta",October,2023,Friday,11,120.57000000000001
"2024-12-07 13:54:00",01:24:43,Member,"Beauty & Personal Care",189.3,1,189.3,"Nandini Wadhwa",December,2024,Saturday,1,189.3
"2023-12-30 06:34:00",20:28:06,Regular,Electronics,104.18,3,312.54,"Bhavesh Verma",December,2023,Saturday,20,104.18
"2023-07-23 01:20:00",13:37:30,Member,Grocery,294.16,3,882.48,"Zara Mehta",July,2023,Sunday,13,294.16
"2023-12-11 17:08:00",05:36:15,Premium,"Home & Kitchen",299.65,5,1498.25,"Diya Wadhwa",December,2023,Monday,5,299.65
"2024-11-13 10:46:00",06:33:07,Regular,Grocery,467.27,4,1869.08,"Vaibhav Xavier",November,2024,Wednesday,6,467.27
"2024-09-03 01:02:00",09:43:42,Regular,Grocery,142.98,2,285.96,"Mahesh Zutshi",September,2024,Tuesday,9,142.98
"2024-08-07 20:13:00",13:51:08,Regular,Clothing,372.78,1,372.78,"Diya Kumar",August,2024,Wednesday,13,372.78
"2024-10-14 12:31:00",11:18:52,Regular,"Beauty & Personal Care",453.55,4,1814.2,"Priya Mehta",October,2024,Monday,11,453.55
"2024-07-14 04:06:00",14:31:32,Premium,Electronics,400.46,3,1201.38,"Mahesh Kumar",July,2024,Sunday,14,400.46000000000004
"2024-09-29 13:31:00",14:20:47,Regular,Clothing,457.92,4,1831.68,"Yash Jain",September,2024,Sunday,14,457.92
"2024-12-25 12:03:00",14:05:50,Premium,Grocery,153.38,4,613.52,"Avani Iyer",December,2024,Wednesday,14,153.38
"2024-01-08 20:11:00",11:56:23,Premium,Electronics,242.49,4,969.96,"Vaibhav Zutshi",January,2024,Monday,11,242.49
"2024-02-27 17:13:00",20:01:56,Premium,Grocery,478.73,2,957.46,"Aakash Jain",February,2024,Tuesday,20,478.73
"2023-03-18 07:07:00",00:07:21,Regular,"Beauty & Personal Care",123.61,5,618.05,"Aakash Wadhwa",March,2023,Saturday,0,123.60999999999999
"2023-09-11 20:02:00",20:07:15,Premium,Grocery,92.09,3,276.27,"Vaibhav Sharma",September,2023,Monday,20,92.08999999999999
"2023-11-28 09:54:00",09:13:49,Premium,"Beauty & Personal Care",52.94,5,264.7,"Bhavesh Gupta",November,2023,Tuesday,9,52.94
"2024-01-12 04:51:00",08:19:27,Member,"Home & Kitchen",389.83,4,1559.32,"Bhavesh Desai",January,2024,Friday,8,389.83
"2023-05-31 23:07:00",15:48:38,Regular,Grocery,263.46,2,526.92,"Yash Singh",May,2023,Wednesday,15,263.46
"2024-11-17 22:46:00",05:46:39,Member,"Beauty & Personal Care",389.06,1,389.06,"Shreya Gupta",November,2024,Sunday,5,389.06
"2024-02-12 04:08:00",13:15:10,Member,"Home & Kitchen",484.47,5,2422.35,"Avani Khanna",February,2024,Monday,13,484.46999999999997
"2023-11-15 12:58:00",00:11:51,Member,Clothing,84.4,3,253.2,"Aakash Mehta",November,2023,Wednesday,0,84.39999999999999
